"[1.4142135623731003, 1.0, 0.0, 0.5]","[1.414102451261989, 0.0, 1.0, 0.5]","[1.413991340150878, 0.0, 1.0, 0.5]","[1.4138802290397667, 0.0, 1.0, 0.5]","[1.4137691179286556, 0.0, 1.0, 0.5]","[1.4136580068175444, 0.0, 1.0, 0.5]","[1.4135468957064332, 0.0, 1.0, 0.5]","[1.413435784595322, 0.0, 1.0, 0.5]","[1.4133246734842109, 0.0, 1.0, 0.5]","[1.4131024512619885, 0.0, 1.0, 0.5]"
"[1.4152135623730995, 1.0, 0.0, 0.5]","[1.4149913401508774, 1.0, 0.0, 0.5]","[1.4147691179286552, 1.0, 0.0, 0.5]","[1.414546895706433, 1.0, 0.0, 0.5]","[1.414324673484211, 1.0, 0.0, 0.5]","[1.4141024512619889, 0.0, 0.9936628643852978, 0.5031685678073511]","[1.4138802290397667, 0.0, 0.9961977186311787, 0.5019011406844107]","[1.4136580068175446, 0.0, 0.9974651457541192, 0.5012674271229405]","[1.4134357845953225, 0.0, 0.9974651457541192, 0.5012674271229405]","[1.4129913401508782, 0.0, 0.9987325728770595, 0.5006337135614702]"
"[1.4142135623731003, 1.0, 0.0, 0.5]","[1.414102451261989, 0.0, 1.0, 0.5]","[1.413991340150878, 0.0, 1.0, 0.5]","[1.4138802290397667, 0.0, 1.0, 0.5]","[1.4137691179286556, 0.0, 1.0, 0.5]","[1.4136580068175444, 0.0, 1.0, 0.5]","[1.4135468957064332, 0.0, 1.0, 0.5]","[1.413435784595322, 0.0, 1.0, 0.5]","[1.4133246734842109, 0.0, 1.0, 0.5]","[1.4131024512619885, 0.0, 1.0, 0.5]"
"[1.4152135623731001, 1.0, 0.0, 0.5]","[1.414991340150878, 1.0, 0.0, 0.5]","[1.414769117928656, 1.0, 0.0, 0.5]","[1.4145468957064338, 1.0, 0.0, 0.5]","[1.4143246734842116, 1.0, 0.0, 0.5]","[1.4141024512619895, 0.0, 1.0, 0.5]","[1.4138802290397674, 0.0, 1.0, 0.5]","[1.4136580068175453, 0.0, 1.0, 0.5]","[1.4134357845953232, 0.0, 1.0, 0.5]","[1.412991340150879, 0.0, 1.0, 0.5]"
"[1.4152135623731001, 1.0, 0.0, 0.5]","[1.414991340150878, 1.0, 0.0, 0.5]","[1.414769117928656, 1.0, 0.0, 0.5]","[1.4145468957064338, 1.0, 0.0, 0.5]","[1.4143246734842116, 1.0, 0.0, 0.5]","[1.4141024512619895, 0.005847953216374269, 0.9910714285714286, 0.5015403091060986]","[1.4138802290397674, 0.0, 0.9936224489795918, 0.503188775510204]","[1.4136580068175453, 0.0, 0.9961734693877551, 0.5019132653061225]","[1.4134357845953232, 0.0, 0.9987244897959183, 0.5006377551020409]","[1.412991340150879, 0.0, 0.9987244897959183, 0.5006377551020409]"
"[1.4152135623731001, 1.0, 0.0, 0.5]","[1.414991340150878, 1.0, 0.0, 0.5]","[1.414769117928656, 1.0, 0.0, 0.5]","[1.4145468957064338, 1.0, 0.0, 0.5]","[1.4143246734842116, 1.0, 0.0, 0.5]","[1.4141024512619895, 0.0, 1.0, 0.5]","[1.4138802290397674, 0.0, 1.0, 0.5]","[1.4136580068175453, 0.0, 1.0, 0.5]","[1.4134357845953232, 0.0, 1.0, 0.5]","[1.412991340150879, 0.0, 1.0, 0.5]"
"[1.4152135623731001, 1.0, 0.0, 0.5]","[1.414991340150878, 1.0, 0.0, 0.5]","[1.414769117928656, 1.0, 0.0, 0.5]","[1.4145468957064338, 1.0, 0.0, 0.5]","[1.4143246734842116, 1.0, 0.0, 0.5]","[1.4141024512619895, 0.0, 0.9912280701754386, 0.5043859649122807]","[1.4138802290397674, 0.0, 0.993734335839599, 0.5031328320802004]","[1.4136580068175453, 0.0, 0.9962406015037594, 0.5018796992481203]","[1.4134357845953232, 0.0, 0.9962406015037594, 0.5018796992481203]","[1.412991340150879, 0.0, 0.9987468671679198, 0.5006265664160401]"
"[1.4152135623731001, 1.0, 0.0, 0.5]","[1.414991340150878, 1.0, 0.0, 0.5]","[1.414769117928656, 1.0, 0.0, 0.5]","[1.4145468957064338, 1.0, 0.0, 0.5]","[1.4143246734842116, 1.0, 0.0, 0.5]","[1.4141024512619895, 0.0, 1.0, 0.5]","[1.4138802290397674, 0.0, 1.0, 0.5]","[1.4136580068175453, 0.0, 1.0, 0.5]","[1.4134357845953232, 0.0, 1.0, 0.5]","[1.412991340150879, 0.0, 1.0, 0.5]"
"[1.4152135623730993, 1.0, 0.0, 0.5]","[1.4149913401508771, 1.0, 0.0, 0.5]","[1.414769117928655, 1.0, 0.0, 0.5]","[1.4145468957064329, 1.0, 0.0, 0.5]","[1.4143246734842108, 1.0, 0.0, 0.5]","[1.4141024512619886, 0.0, 0.9924812030075187, 0.5037593984962406]","[1.4138802290397665, 0.0, 0.9924812030075187, 0.5037593984962406]","[1.4136580068175444, 0.0, 0.9949874686716792, 0.5025062656641603]","[1.4134357845953223, 0.0, 0.9987468671679198, 0.5006265664160401]","[1.412991340150878, 0.0, 0.9987468671679198, 0.5006265664160401]"
"[1.4152135623731001, 1.0, 0.0, 0.5]","[1.414991340150878, 1.0, 0.0, 0.5]","[1.414769117928656, 1.0, 0.0, 0.5]","[1.4145468957064338, 1.0, 0.0, 0.5]","[1.4143246734842116, 1.0, 0.0, 0.5]","[1.4141024512619895, 0.0, 1.0, 0.5]","[1.4138802290397674, 0.0, 1.0, 0.5]","[1.4136580068175453, 0.0, 1.0, 0.5]","[1.4134357845953232, 0.0, 1.0, 0.5]","[1.412991340150879, 0.0, 1.0, 0.5]"
